lag_samples,pearson_r,p_value
-8,-0.27928805892984676,0.01750864256289382
-7,-0.382532523665085,0.0008379365017951902
-6,-0.14876559922715532,0.20587292216420303
-5,0.0783854200919694,0.5038364496457118
-4,0.07428690583572142,0.5236252196061842
-3,0.05509188299951693,0.6341571312336921
-2,0.3025101279438403,0.007103615023741277
-1,0.7346903194640547,1.2916638214194843e-14
0,0.9742468128064563,3.2255686380390324e-52
1,0.698090100864219,8.640369058244616e-13
2,0.27066257208371425,0.01654101388352803
3,0.025863026215768675,0.8233234860600604
4,0.0406310718121562,0.7274744994944408
5,0.06250270084409806,0.5942280291762819
6,-0.14230646153986973,0.22647382053308898
7,-0.35046358046663184,0.0023680266770131388
8,-0.24027089386268746,0.04205549053558944
